ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿou cut the PSU)
elapsed_s,rawADC,pin_mV,Vbatt,pct
2310,1988,1794,11.737,
2340,1984,1784,11.671,
2370,1989,1766,11.554,
2400,2025,1751,11.456,
2430,2032,1814,11.868,
2460,1984,1759,11.508,
2490,2016,1753,11.469,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ2550,2010,1781,11.652,
2580,2010,1755,11.482,
2610,2041,1752,11.462,
2640,2017,1771,11.586,
2670,1984,1761,11.521,
2700,2032,1795,11.743,
2730,2000,1751,11.456,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ2790,2003,1785,11.678,
2820,2032,1758,11.501,
2850,2007,1776,11.619,
2880,2047,1764,11.541,
2910,2029,1746,11.423,
2940,2032,1768,11.567,
2970,2016,1811,11.848,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ3030,1987,1764,11.541,
3060,2032,1807,11.822,
3090,2021,1746,11.423,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ3150,2004,1750,11.449,
3180,2003,1800,11.776,
3210,2000,1752,11.462,
3240,2021,1752,11.462,
3270,2023,1746,11.423,
3300,2000,1813,11.861,
3330,1989,1788,11.698,
3360,2019,1787,11.691,
3390,2022,1751,11.456,
