>> LOAD: RIGHT-side chase (operating load)
>> Stream ON
  rawADC=2227   pin=1954 mV   Vbatt=12.810 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2221   pin=1949 mV   Vbatt=12.778 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2256   pin=1952 mV   Vbatt=12.797 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2216   pin=1986 mV   Vbatt=13.020 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2228   pin=1950 mV   Vbatt=12.784 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2219   pin=1954 mV   Vbatt=12.810 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2237   pin=1964 mV   Vbatt=12.876 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2206   pin=1971 mV   Vbatt=12.922 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2192   pin=1944 mV   Vbatt=12.745 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2210   pin=1939 mV   Vbatt=12.712 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2227   pin=1974 mV   Vbatt=12.942 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2235   pin=1948 mV   Vbatt=12.771 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2225   pin=1975 mV   Vbatt=12.948 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2223   pin=1944 mV   Vbatt=12.745 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2275   pin=1946 mV   Vbatt=12.758 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2214   pin=1935 mV   Vbatt=12.686 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2227   pin=1951 mV   Vbatt=12.791 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2241   pin=1956 mV   Vbatt=12.824 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2193   pin=1959 mV   Vbatt=12.843 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2226   pin=1995 mV   Vbatt=13.079 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2206   pin=1958 mV   Vbatt=12.837 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2241   pin=1945 mV   Vbatt=12.751 V   ratio=6.5560   %=--- (set e/m/f)
  rawADC=2259   pin=1961 mV   Vbatt=12.856 V   ratio=6.5560   %=--- (set e/m/f)
